RowNum,Transect_id,year,Total_cm,Code,Full_name,Origin,code_new,fullname_new,Origin_new
1422,2has1,2013,4,unkn,Unknown plant,NA,unchanged,unchanged,
1423,2has1,2013,6,comp,unknown Composite,NA,unchanged,unchanged,
1424,2has1,2013,4,gras,Unidentified grass,NA,gras,unchanged,
1430,2has1,2016,221,forb,Unidentified forb,NA,unchanged,unchanged,
1431,2has1,2016,132,gras,Unidentified grass,NA,gras,unchanged,
1439,2has1,2019,127,cryp,Cryptogam,NA,unchanged,unchanged,
1442,2has1,2019,328,care,Carex spp.,native,care,Carex sp.,
1443,2has1,2019,29,erxx,Erigeron spp.,NA,unchanged,Erigeron sp.,native
1445,2has1,2019,9,forb,Unidentified forb,NA,unchanged,unchanged,
1448,2has1,2019,1,forb,Unidentified forb,NA,unchanged,unchanged,
1452,2has1,2019,17,shru,Unidentified shrub,NA,unchanged,unchanged,
1464,2has2,1997,126,gras2,Unidentified grass,NA,gras,unchanged,
1465,2has2,1997,49,gras,Unidentified grass,NA,gras,unchanged,
1471,2has2,1997,18,casp,Carex spp.,native,care,Carex sp.,
1486,2has2,1998,64,casp,Carex spp.,native,care,Carex sp.,
1495,2has2,1998,44,gras,Unidentified grass,NA,gras,unchanged,
1497,2has2,1998,1,forb,Unidentified forb,NA,unchanged,unchanged,
1508,2has2,2008,41,comp,unknown Composite,NA,unchanged,unchanged,
1513,2has2,2008,172,quxx,Quercus spp.,native,quga,Quercus gambellii,
1514,2has2,2008,3,hier,Hieracium spp.,NA,hife,Hieracium fendleri,native
1515,2has2,2008,48,gras,Unidentified grass,NA,gras,unchanged,
1520,2has2,2008,141,caxx,Carex spp.,native,care,Carex sp.,
1521,2has2,2008,12,cixx,Cirsium sp.,NA,unchanged,unchanged,
1548,2has2,2016,683,blit,"dead, attached BRIN lvs on grnd over bare",exotic,brin,Bromus inermis,
1551,2has2,2016,206,gras,Unidentified grass,NA,gras,unchanged,
1553,2has2,2016,785,forb,Unidentified forb,NA,unchanged,unchanged,
1554,2has2,2016,323,subs,Unidentified subshrub,NA,unchanged,unchanged,
1556,2has2,2016,1,forb,Unidentified forb,NA,unchanged,unchanged,
1573,2has2,2019,68,hevi,Heterotheca villosa,native,unchanged,unchanged,
1574,2has2,2019,4,span,Sphaeralcea angustifolia,native,unchanged,unchanged,
1575,2has2,2019,15,erxx,Erigeron spp.,NA,unchanged,Erigeron sp.,native
1583,2has2,2019,5,oexx,Oenothera sp.,NA,unchanged,unchanged,native
1590,2hau1,1997,113,casp,Carex spp.,native,care,Carex sp.,
1595,2hau1,1997,8,gras2,Unidentified grass,NA,gras,unchanged,
1609,2hau1,1998,294,casp,Carex spp.,native,care,Carex sp.,
1622,2hau1,1998,2,tree,Unidentified tree,NA,unchanged,unchanged,
1634,2hau1,2008,126,caxx,Carex spp.,native,care,Carex sp.,
1649,2hau1,2013,2,unkn,Unknown plant,NA,unchanged,unchanged,
1663,2hau1,2016,360,forb,Unidentified forb,NA,unchanged,unchanged,
1665,2hau1,2016,75,gras,Unidentified grass,NA,gras,unchanged,
1675,2hau1,2019,183,hevi,Heterotheca villosa,native,unchanged,unchanged,
1677,2hau1,2019,2,erxx,Erigeron spp.,NA,unchanged,Erigeron sp.,native
1682,2hau1,2019,11,care,Carex spp.,native,care,Carex sp.,
1689,2hau2,1997,335,casp,Carex spp.,native,care,Carex sp.,
1698,2hau2,1997,6,gras2,Unidentified grass,NA,gras,unchanged,
1706,2hau2,1998,439,casp,Carex spp.,native,care,Carex sp.,
1721,2hau2,2008,25,gras,Unidentified grass,NA,gras,unchanged,
1722,2hau2,2008,546,caxx,Carex spp.,native,care,Carex sp.,
1736,2hau2,2008,68,comp,unknown Composite,NA,unchanged,unchanged,
1737,2hau2,2008,5,cixx,Cirsium sp.,native,cine,Cirsium neomexicanum,
1748,2hau2,2013,34,cixx,Cirsium sp.,native,cine,Cirsium neomexicanum,
1749,2hau2,2013,14,chxx,Chenopodium sp.,NA,unchanged,unchanged,
1757,2hau2,2016,2345,forb,Unidentified forb,NA,unchanged,unchanged,
1759,2hau2,2016,133,gras,Unidentified grass,NA,gras,unchanged,
1763,2hau2,2016,5,shru,Unidentified shrub,NA,unchanged,unchanged,
1765,2hau2,2016,118,forb,Unidentified forb,NA,unchanged,unchanged,
1766,2hau2,2016,7,subs,Unidentified subshrub,NA,unchanged,unchanged,
1775,2hau2,2019,292,mimu,Mirabilis multiflora,native,unchanged,unchanged,
1777,2hau2,2019,91,cine,Cirsium neomexicanum,native,unchanged,unchanged,
1786,2hau2,2019,4,forb,Unidentified forb,NA,unchanged,unchanged,
1787,2hau2,2019,3,lasc,Laennecia schiedeana,native,unchanged,unchanged,
1790,2hau2,2019,47,erxx,Erigeron spp.,NA,unchanged,Erigeron sp.,native
1800,2hbs1,1997,484,casp,Carex spp.,native,care,Carex sp.,
1814,2hbs1,1998,683,casp,Carex spp.,native,care,Carex sp.,
1837,2hbs1,2008,379,gras,Unidentified grass,NA,gras,unchanged,
1838,2hbs1,2008,551,caxx,Carex spp.,native,care,Carex sp.,
1845,2hbs1,2008,20,sexx,Senecio sp.,NA,unchanged,unchanged,
