"","plot","year","month","spei"
"419","2MBU2","1981","09",1.13930772262141
"420","2U1","1981","09",1.20986710525142
"421","2U2","1981","09",1.20986710525142
"422","3HAS1","1981","09",1.20986710525142
"423","3HAS2","1981","09",1.13930772262141
"424","3HBS1","1981","09",1.20986710525142
"425","3HBS2","1981","09",1.20986710525142
"426","3MAS1","1981","09",1.20986710525142
"427","3MAS2","1981","09",1.20986710525142
"428","3MBS1","1981","09",1.20986710525142
"429","3MBS2","1981","09",1.20986710525142
"430","3MBS3","1981","09",1.20986710525142
"431","3U2","1981","09",1.13930772262141
"432","3HBU1","1981","09",0.965036270231505
"433","3HAU1","1981","09",0.965036270231505
"434","3MAU1","1981","09",0.968800325818895
"435","3LAU1","1981","09",0.968800325818895
"436","3MAU2","1981","09",0.968800325818895
"437","3MBU2","1981","09",0.977369355491045
"438","3MBU1","1981","09",0.977369355491045
"439","3HAU2","1981","09",0.977369355491045
"440","3HBU2","1981","09",0.977369355491045
"441","3U1","1981","09",0.977369355491045
"442","1HAS1","1981","10",0.770144147814793
"443","1HAS2","1981","10",0.756216419564928
"444","1HBS1","1981","10",0.756216419564928
"445","1HBS2","1981","10",0.770144147814793
"446","1MAS1","1981","10",0.756216419564928
"447","1MAS2","1981","10",0.770144147814793
"448","1MBS1","1981","10",0.756216419564928
"449","1MBS2","1981","10",0.756216419564928
"450","1U1","1981","10",0.756216419564928
"451","1U2","1981","10",0.756216419564928
"452","2HAS1","1981","10",1.11078697704616
"453","2HAS2","1981","10",1.11078697704616
"454","2HAU1","1981","10",1.11078697704616
"455","2HAU2","1981","10",1.11078697704616
"456","2HBS1","1981","10",1.20562577919747
"457","2HBS2","1981","10",1.11078697704616
"458","2HBU1","1981","10",0.770144147814793
"459","2HBU2","1981","10",1.11078697704616
"460","2MAS1","1981","10",1.20562577919747
"461","2MAS2","1981","10",1.11078697704616
"462","2MAU1","1981","10",1.11078697704616
"463","2MAU2","1981","10",1.11078697704616
"464","2MBS1","1981","10",1.20562577919747
"465","2MBS2","1981","10",1.11078697704616
"466","2MBS3","1981","10",1.11078697704616
"467","2MBU1","1981","10",1.11078697704616
"468","2MBU2","1981","10",1.11078697704616
"469","2U1","1981","10",1.20562577919747
"470","2U2","1981","10",1.20562577919747
"471","3HAS1","1981","10",1.20562577919747
"472","3HAS2","1981","10",1.11078697704616
"473","3HBS1","1981","10",1.20562577919747
"474","3HBS2","1981","10",1.20562577919747
"475","3MAS1","1981","10",1.20562577919747
"476","3MAS2","1981","10",1.20562577919747
"477","3MBS1","1981","10",1.20562577919747
"478","3MBS2","1981","10",1.20562577919747
"479","3MBS3","1981","10",1.20562577919747
"480","3U2","1981","10",1.11078697704616
"481","3HBU1","1981","10",0.770144147814793
"482","3HAU1","1981","10",0.770144147814793
"483","3MAU1","1981","10",0.838495390051881
"484","3LAU1","1981","10",0.838495390051881
"485","3MAU2","1981","10",0.838495390051881
"486","3MBU2","1981","10",0.867180151617113
"487","3MBU1","1981","10",0.867180151617113
"488","3HAU2","1981","10",0.867180151617113
"489","3HBU2","1981","10",0.867180151617113
"490","3U1","1981","10",0.867180151617113
"491","1HAS1","1981","11",0.327526791922124
"492","1HAS2","1981","11",0.317223526646033
"493","1HBS1","1981","11",0.317223526646033
"494","1HBS2","1981","11",0.327526791922124
"495","1MAS1","1981","11",0.317223526646033
"496","1MAS2","1981","11",0.327526791922124
"497","1MBS1","1981","11",0.317223526646033
"498","1MBS2","1981","11",0.317223526646033
"499","1U1","1981","11",0.317223526646033
"500","1U2","1981","11",0.317223526646033
"501","2HAS1","1981","11",0.290321308149149
"502","2HAS2","1981","11",0.290321308149149
"503","2HAU1","1981","11",0.290321308149149
"504","2HAU2","1981","11",0.290321308149149
"505","2HBS1","1981","11",0.295913745127142
"506","2HBS2","1981","11",0.290321308149149
"507","2HBU1","1981","11",0.327526791922124
"508","2HBU2","1981","11",0.290321308149149
"509","2MAS1","1981","11",0.295913745127142
"510","2MAS2","1981","11",0.290321308149149
"511","2MAU1","1981","11",0.290321308149149
"512","2MAU2","1981","11",0.290321308149149
"513","2MBS1","1981","11",0.295913745127142
"514","2MBS2","1981","11",0.290321308149149
"515","2MBS3","1981","11",0.290321308149149
"516","2MBU1","1981","11",0.290321308149149
"517","2MBU2","1981","11",0.290321308149149
"518","2U1","1981","11",0.295913745127142
"519","2U2","1981","11",0.295913745127142
"520","3HAS1","1981","11",0.295913745127142
"521","3HAS2","1981","11",0.290321308149149
"522","3HBS1","1981","11",0.295913745127142
"523","3HBS2","1981","11",0.295913745127142
"524","3MAS1","1981","11",0.295913745127142
"525","3MAS2","1981","11",0.295913745127142
"526","3MBS1","1981","11",0.295913745127142
"527","3MBS2","1981","11",0.295913745127142
"528","3MBS3","1981","11",0.295913745127142
"529","3U2","1981","11",0.290321308149149
"530","3HBU1","1981","11",0.327526791922124
"531","3HAU1","1981","11",0.327526791922124
